specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Substation,Karabar,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.36912794,149.2275368
Asset,Substation,Googong Town,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.4330218,149.2182987
Asset,Substation,Bungendore,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.25365582,149.4362758
Asset,Substation,Capital Hill Wind Farm,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.18739877,149.5230093
Asset,Wind Farm,Capital Hill Wind Farm,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.16603062,149.5185686
Asset,Wind Farm,Woodlawn Wind Farm,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-35.0860597,149.5716058
Asset,Biogas Plant,Woodlawn Bioreactor,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-35.05900246,149.576905
Asset,Substation,Captains Flat,Queanbeyan-Palerang,Queanbeyan-Palerang Asset Model,-35.59169858,149.4402618
Asset,Fuel Depot,Bombala,Snowy Monaro,Snowy Monaro Asset Model,-36.9044838,149.2413406
Asset,Substation,Bombala,Snowy Monaro,Snowy Monaro Asset Model,-36.89124071,149.2433445
Asset,University,Country Universities Centre - Snowy Monaro (Cooma),Snowy Monaro,Snowy Monaro Asset Model,-36.23554402,149.1283258
Asset,Fuel Depot,Snowstop,Snowy Monaro,Snowy Monaro Asset Model,-36.22816658,149.1358032
Asset,Substation,Cooma,Snowy Monaro,Snowy Monaro Asset Model,-36.21819931,149.1402751
Asset,Substation,Providence Portal,Snowy Monaro,Snowy Monaro Asset Model,-35.9400704,148.6358481
Asset,Substation,Adaminaby,Snowy Monaro,Snowy Monaro Asset Model,-36.00287677,148.7008762
Asset,Substation,Springfield,Snowy Monaro,Snowy Monaro Asset Model,-36.5764788,149.1268993
Asset,Wind Farm,Boco Rock,Snowy Monaro,Snowy Monaro Asset Model,-36.57631059,149.1267246
Asset,Substation,Steeple Flat,Snowy Monaro,Snowy Monaro Asset Model,-36.57142236,149.3683566
Asset,Substation,Munyang,Snowy Monaro,Snowy Monaro Asset Model,-36.35104851,148.411784
Asset,Substation,Guthega,Snowy Monaro,Snowy Monaro Asset Model,-36.34944291,148.4134294
Asset,Pumped Hydropower,Guthega,Snowy Monaro,Snowy Monaro Asset Model,-36.350098,148.413528
Asset,Substation,Snowy Adit,Snowy Monaro,Snowy Monaro Asset Model,-36.29452964,148.5093251
Asset,Substation,Jindabyne,Snowy Monaro,Snowy Monaro Asset Model,-36.41475631,148.5980544
Asset,Pumped Hydropower,Jindabyne Dam Mini Hydro,Snowy Monaro,Snowy Monaro Asset Model,-36.43514967,148.6332501
Asset,Substation,East Jindabyne,Snowy Monaro,Snowy Monaro Asset Model,-36.40760297,148.6803663
Asset,University,University of Wollongong - Batemans Bay Education Centre,Eurobodalla,Eurobodalla Asset Model,-35.721378,150.192482
Asset,Substation,Batemans Bay,Eurobodalla,Eurobodalla Asset Model,-35.71790493,150.1752487
Asset,Substation,Black Range,Bega Valley,Bega Valley Asset Model,-36.71582471,149.8411272
Asset,Substation,Bega South,Bega Valley,Bega Valley Asset Model,-36.6938351,149.8322188
Asset,Substation,Bega,Bega Valley,Bega Valley Asset Model,-36.68518913,149.8338315
Asset,University,University of Wollongong - Bega Education Centre,Bega Valley,Bega Valley Asset Model,-36.6778,149.840089
Asset,Community Energy Organisation,Clean Energy for Eternity Bega,Bega Valley,Bega Valley Asset Model,-36.6740211,149.8433321
Asset,Fuel Depot,Bega,Bega Valley,Bega Valley Asset Model,-36.66816711,149.8285675
Asset,Substation,Edrom,Bega Valley,Bega Valley Asset Model,-37.10346137,149.9346946
Asset,Substation,Brogo,Bega Valley,Bega Valley Asset Model,-36.5487688,149.8093382
Asset,Substation,Cobargo,Bega Valley,Bega Valley Asset Model,-36.38996322,149.8936844
Asset,Substation,Brown Mountain,Bega Valley,Bega Valley Asset Model,-36.595107,149.473841
Asset,Pumped Hydropower,Brown Mountain,Bega Valley,Bega Valley Asset Model,-36.59508977,149.4740422
Asset,Substation,Eden,Bega Valley,Bega Valley Asset Model,-37.06284104,149.8879486
Asset,Fuel Depot,Eden,Bega Valley,Bega Valley Asset Model,-37.05709839,149.9038544
Asset,Fuel Depot,Eden,Bega Valley,Bega Valley Asset Model,-37.03847885,149.8915405
Asset,Substation,Bald Hills,Bega Valley,Bega Valley Asset Model,-36.91321298,149.8517477
Asset,Substation,Millingandi ,Bega Valley,Bega Valley Asset Model,-36.90155837,149.8651356
Asset,Community Energy Organisation,Southcoast Health and Sustainability Alliance (SHASA),Eurobodalla,Eurobodalla Asset Model,-35.9121848,150.080328
Asset,Fuel Depot,Moruya,Eurobodalla,Eurobodalla Asset Model,-35.91049957,150.0711441
Asset,Substation,Moruya North,Eurobodalla,Eurobodalla Asset Model,-35.87537392,150.0909898
Asset,Community Energy Organisation,Clean Energy for Eternity Bermagui,Bega Valley,Bega Valley Asset Model,-36.42723614,150.0764149
Asset,Fuel Depot,Goulburn,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.77420998,149.7089844
Asset,Substation,Goulburn,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.76945811,149.7311585
Asset,Fuel Depot,Goulburn,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.76213074,149.7171173
Asset,Community Energy Organisation,Community Energy for Goulburn,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.75674088,149.7135079
Asset,University,Country Universities Centre - Goulburn,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.74996061,149.7056406
Asset,University,Charles Sturt University - School of Policing Studies (Goulburn),Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.733796,149.730114
Asset,Wind Farm,Cullerin Range Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.80498162,149.4001296
Asset,Substation,Cullerin Range Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.79553016,149.3981759
Asset,Substation,Brisbane Grove,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.7850451,149.7053943
Asset,Wind Farm,Gunning,Upper Lachlan,Upper Lachlan Asset Model,-34.69773447,149.3861257
Asset,Substation,Gunning Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.6958309,149.3831752
Asset,Wind Farm,Gullen Range Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.69037507,149.4841144
Asset,Substation,Marulan,Goulburn Mulwaree,Goulburn Mulwaree Asset Model,-34.6153365,150.0519305
Asset,Wind Farm,Gullen Range Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.61491677,149.4597433
Asset,Substation,Gullen Range Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.61404151,149.4576816
Asset,Solar Farm,Gullen Solar Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.60879627,149.4744926
Asset,Wind Farm,Crookwell Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.5165,149.54248
Asset,Substation,Bannaby,Upper Lachlan,Upper Lachlan Asset Model,-34.4417455,150.051059
Asset,Wind Farm,Taralga Wind Farm,Upper Lachlan,Upper Lachlan Asset Model,-34.43144117,149.8651845
Asset,Substation,Yass,Yass Valley,Yass Valley Asset Model,-34.86259933,148.9040628
Asset,Substation,Berremangra,Hilltops,Hilltops Asset Model,-34.872434,148.536375
Asset,Wind Farm,Rye Park,Hilltops,Hilltops Asset Model,-34.633023,148.953104
Asset,Substation,Burrinjuck,Yass Valley,Yass Valley Asset Model,-35.00094752,148.5824659
Asset,Pumped Hydropower,Burrinjuck Power Station,Yass Valley,Yass Valley Asset Model,-35.00252,148.583393
Asset,Wind Farm,Bango Wind Farm,Yass Valley,Yass Valley Asset Model,-34.60577782,148.8695573
Asset,TAFE,Young,Hilltops,Hilltops Asset Model,-34.316115,148.290895
Asset,Pumped Hydropower,Wyangala A,Hilltops,Hilltops Asset Model,-33.980989,148.947306
Asset,Substation,Murrumburrah,Hilltops,Hilltops Asset Model,-34.5416515,148.3133775
Asset,Wheat Farm,Kalyx Young,Hilltops,Hilltops Asset Model,-34.5167,148.51339
Asset,Wheat Farm,Kalyx Young,Hilltops,Hilltops Asset Model,-34.5167,148.51339
Asset,Wind Farm,Bango,Hilltops,Hilltops Asset Model,-34.551746,148.732157
Asset,Wheat Farm,Kalyx Young,Hilltops,Hilltops Asset Model,-34.5167,148.51339
Asset,Community Energy Organisation,Electrify Bouddi Inc,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.52305036,151.3700993
Asset,Substation,Sommersby,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.41435124,151.2928114
Asset,Community Energy Organisation,Central Coast Community Energy Association Inc. (CCCE),Central Coast (NSW),Central Coast (NSW) Asset Model,-33.42374179,151.342138
Asset,Substation,West Gosford,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.42099671,151.3317101
Asset,Substation,Gosford,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.411398,151.3298205
Asset,Community Energy Organisation,Narara Ecovillage Co-operative Ltd,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.39489204,151.3437401
Asset,Fossil Fuel Power Station,Munmorah,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.211691,151.541837
Asset,Natural Gas Power Station,Colongra,Central Coast (NSW),Central Coast (NSW) Asset Model,-33.209869,151.544785
